brand,sub_brand,model_no,v_item_code,ean,hsn,l_des,s_des,p_weight,p_len,p_width,p_height,weight,len,width,height,mrp,colour,warranty,url,a_1,a_2,a_3,a_4,a_5,a_6,img1,vid,like_dislike,comment,rating
Asus,Gaming Router,GT-AX11000,90IG04H0-MFAG00,4.72E+12,85176290,"Asus ROG Rapture GT-AX11000 Wifi6 TriBand Gaming Router World's first 10 Gigabit Wi-Fi router with a quad-core processor, 2.5G gaming port, DFS band, wtfast, Adaptive QoS, AiMesh for mesh wifi system and AiProtection Pro network security",Asus ROG Rapture GT-AX11000 Wifi6 TriBand Gaming Router,1717.6,7,24,24,1854,12.05,37.75,28.7,47800,Black,36,https://www.asus.com/us/Networking/ROG-Rapture-GT-AX11000/,"World's first 10 Gigabit Wi-Fi router with a quad-core processor, 2.5G gaming port, DFS band, wtfast, Adaptive QoS, AiMesh for mesh wifi system and AiProtection Pro network security",Triple-level Game Acceleration__ Accelerate game traffic every step of the way - from device to game server.,"Next-Gen WiFi Standard_- 802.11ax WiFi standard for better efficiency, throughput and range.",Battle-ready-hardware__ 1.8GHz quad-core CPU and 2.5GBase -T port for ultimate performance.,Front-line Network Security__ Neutralize internet threats before they hit your network.,Ultrafast WiFi Speed_- 11000Mbps WiFi speed to handle even the busiest network with ease.,https://drive.google.com/file/uc?export=view&id=1G5PRRMJbuXlvRRN53MfkPpOMDEiR6qFu,https://www.youtube.com/embed/gjPqiclhI34,,,
Asus,Gaming Router,RT-AX88U,90IG04F0-MFAG00,4.72E+12,85176290,"Asus RT-AX88U AX6000 Dual Band WiFi 6 (802.11ax) Gaming RouterSupports MU-MIMO and OFDMA technology, with AiProtection Pro network security powered by Trend Micro_, built-in wtfast‘ game accelerator and Adaptive QoS",Asus RT-AX88U AX6000 Dual Band WiFi 6 (802.11ax) Gaming Router,1010,6.05,30,18.8,1100,12.6,38.5,25,36000,Black,36,https://www.asus.com/Networking/RT-AX88U/,"Supports MU-MIMO and OFDMA technology, with AiProtection Pro network security powered by Trend Micro_, built-in wtfast‘ game accelerator and Adaptive QoS",Ultrafast WiFi Speed_- 6000Mbps WiFi speed to handle even the busiest network with ease.,Wider Usage and More Convenience_- 4 antennas + 8 LAN ports to support more clients at the same time.,Next-Gen WiFi 6 Standard_- 802.11ax WiFi standard for better efficiency and throughput.,Smart Home Ready_- Control your RT-AX88U by linking your Amazon Alexa to it with simple voice commands.,"Commercial-grade Security_- AiProtection Pro, powered by Trend Micro_, blocks internet security threats for all your connected smart devices.",https://drive.google.com/file/uc?export=view&id=1Z7l3hSvl4kARnzqTfnO6nYB6QdEDbxlJ,https://www.youtube.com/embed/o2lo_lnVflI,,,
Asus,2 Pack Models,RT-AX92U(2-PK),90IG04P0-MFA020,4.72E+12,85176290,"Asus AX6100 AiMesh WiFi6 System (RT-AX92U 2 Pack)AX6100 WiFi6_802.11ax_ whole home mesh wifi system for large and multi-story homes, supports flexible SSID setting, wired inter-router connections, AiProtection Pro network security powered by Trend Micro",Asus AX6100 AiMesh WiFi6 System (RT-AX92U 2 Pack),1701,5.26,15.5,15.5,1871,39.2,22,10.8,27850,Black,36,https://www.asus.com/in/Networking/AiMesh-AX6100-WiFi-System-RT-AX92U-2-Pack/,"AX6100 WiFi6_802.11ax_ whole home mesh wifi system for large and multi-story homes, supports flexible SSID setting, wired inter-router connections, AiProtection Pro network security powered by Trend Micro","The most powerful mesh system_Ê AiMesh technology allows you to establish an even stronger WiFi system with WiFi6(802.11ax) technology as wireless backhaul to transmit data between two RT-AX92U, ensuring the most stable possible WiFi for connected devices.","Next-Gen Wi-Fi6 Technology_Ê With OFDMA and MU-MIMO, AiMesh AX6100 WiFi System enables more efficient, stable, and faster transmission even when multiple devices are transmitting data at the same time.","Flexible WiFi for connected devices_Ê AiMesh AX6100 WiFi System comes with 802.11n, ac and WiFi6_802.11ax_ bands, which provides channels for all kinds of devices, including legacy or cutting-edge devices.",Commercial-grade network security for family_Ê AiProtection Pro protects all the connected devices on your home network and advanced parental controls allow you to manage the family's internet usage,,NULL,NULL,,,
Asus,Wireless Router,RT-AC88U,90IG01Z0-BH2000,4.72E+12,85176290,"Asus RT-AC88U AC3100 Dual Band Gigabit WiFi Gaming RouterRouter with MU-MIMO, supporting AiProtection network security by Trend Micro, AiMesh for mesh wifi system and WTFast game accelerator",Asus RT-AC88U AC3100 Dual Band Gigabit WiFi Gaming Router,950,6.05,30,18.8,1083,13.1,40.3,26,24000,Black,36,https://www.asus.com/in/Gaming-Networking/RT-AC88U/,"Router with MU-MIMO, supporting AiProtection network security by Trend Micro, AiMesh for mesh wifi system and WTFast game accelerator","Ultra-fast 802.11ac dual-band Wi-Fi router boosts speeds up to 3167 Mbps for low-latency online gaming, smooth 4K UHD video playback and extremely fast file-sharing.",4x4 antenna design with AiRadar universal beamforming for unrivaled Wi-Fi range.,Exclusive built-in game accelerator from WTFast‘ lets you enjoy smooth gameplay in supported multi-player online games.,8 Gigabit LAN ports for extensive connectivity and AiMesh support,"Link aggregation for up to 2Gbps wired network speeds, so more devices can enjoy faster access.",https://drive.google.com/file/uc?export=view&id=14HgVugWeDNAo3y0CfJ0m7JXLDg0IwA7W,https://www.youtube.com/embed/M3cqLO9JHHw,,,
Asus,Business Router,BRT-AC828,90IG01T0-BFA000,4.71E+12,85176290,"BRT-AC828 -AC2600 Dual-WAN VPN Wi-Fi Business RouterHardware Dual-WAN_- Dual physical WAN ports for ultimate speed and reliability, with up to 2Gbps aggregated bandwidth and failover capability.",BRT-AC828 -AC2600 Dual-WAN VPN Wi-Fi Business Router,950,4.95,19,30,1007,11.9,41.5,26.9,26000,Black,36,https://www.asus.com/in/Business-Networking/BRT-AC828/,"Hardware Dual-WAN_- Dual physical WAN ports for ultimate speed and reliability, with up to 2Gbps aggregated bandwidth and failover capability.",M.2 Slot for Faster Storage_- Internal M.2 SATA slot for ultra-fast networked SSD storage.,Internal M.2 SATA slot for ultra-fast networked SSD storage,Easy Management_- Grow your business with Captive Portal to set up customer Wi-Fi within steps ; and manage your network with convenient Device Grouping and RADIUS server.,Up to 250 Simultaneous Client Connections,Teaming Support_- Up to 4Gbps LAN connections.,https://drive.google.com/file/uc?export=view&id=130J5s7rIk6k2nxOEVrI2Yx1kDuhhrEuZ,https://www.youtube.com/embed/m8IJnF0n6PQ,,,
Asus,Wireless Router,LYRA VOICE,90IG04N0-MFAG00,4.72E+12,85182900,"Asus Lyra Voice All-In-One Smart Voice Router AC2200 Tri-Band Mesh WiFi Router , Bluetooth Speaker  & Amazon Alexa Built-inAiMesh support and Amazon Alexa Built-in, AiProtection Pro network security powered by Trend Micro, Two 8W Stereo Speakers","Asus Lyra Voice All-In-One Smart Voice Router AC2200 Tri-Band Mesh WiFi Router , Bluetooth Speaker  & Amazon Alexa Built-in",975,7.5,27,7.5,1082,16,32.4,12.5,29700,Black,36,https://www.asus.com/in/Networking/Lyra-Voice/,"AiMesh support and Amazon Alexa Built-in, AiProtection Pro network security powered by Trend Micro, Two 8W Stereo Speakers","Amazon Alexa Built-in_Ê Voice control with Alexa enables users to listen to news and music, control smart-home devices and access thousands of skills.",Rich and Powerful Sound_Ê Exclusive audio technology lets you enjoy your music in stereo sound with deeper bass and a wider frequency range.,"Complete Network Security for Your Family_Ê Lifetime free AiProtection Pro powered by Trend Micro protects all connected devices, including IoT appliances.",ASUS Lyra app enables PC-free setup,Whole Home WiFi Range_Ê Tri-band mesh network compatible with ASUS AiMesh series ensures a strong connection in every corner of your home,https://drive.google.com/file/uc?export=view&id=1AQCCZzwfBJOxz2Woy7d1X1cvhBxZTuI0,NULL,,,
Asus,Wireless Router,RT-AC86U,90IG0401-BGA000,4.71E+12,85176290,"Asus Rt-AC86U AC2900 Dual Band Gigabit WiFi Gaming RouterRouter with MU-MIMO, AiMesh for mesh wifi system, AiProtection network security by Trend Micro, WTFast game accelerator and Adaptive QoS",Asus Rt-AC86U AC2900 Dual Band Gigabit WiFi Gaming Router,931,8.86,22,15.76,1042,10.2,30.5,23,22500,Black,36,https://www.asus.com/us/Networking/RT-AC86U/,"Router with MU-MIMO, AiMesh for mesh wifi system, AiProtection network security by Trend Micro, WTFast game accelerator and Adaptive QoS",ltimate gaming experience_- Built-in WTFast‘ game accelerator and Adaptive QoS deliver lag-free online gaming and smooth 4K UHD streaming,Ultrapowerful Processor__ Enjoy smoother networking and faster data transfers with the PC-grade 1.8GHz 64bit dual-core processor,Ultrafast Wi-Fi_- AC2900 W-Fi speeds boosted with NitroQAM_ and 5GHz quad-stream technology to handle even the busiest home networks with ease,"Ultrawide Coverage__ High-performance antennas, ASUS AiRadar and Range Boost eliminate dead spots, and MU-MIMO maximizes Multi-device performance",AiMesh Supported_- Connect your RT-AC86U to other compatible ASUS routers to create a powerful and flexible whole-home Wi-Fi network,https://drive.google.com/file/uc?export=view&id=13ZTqGnKhuwDsTHsSaWUn9T5VMrT7tLnO,NULL,,,
Asus,Wireless Router,RT-AC68U,90IG00C0-BIB000,4.71E+12,85176290,"RT-AC68U AC1900 Dual Band Gigabit WiFi RouterAC1900 Dual Band Gigabit WiFi Router with MU-MIMO, AiMesh for mesh wifi system, AiProtection network security powered by Trend Micro, Adaptive QoS and Parental Control",RT-AC68U AC1900 Dual Band Gigabit WiFi Router,760,8.5,22,16,851,9.2,30.5,23,14000,Black,36,https://www.asus.com/in/Networking/RTAC68U/,"AC1900 Dual Band Gigabit WiFi Router with MU-MIMO, AiMesh for mesh wifi system, AiProtection network security powered by Trend Micro, Adaptive QoS and Parental Control","Great Wi-Fi -_Enjoy the combined dual-band speeds of up to 1900Mbps, 3X faster than 802.11n routers",Ultrawide Coverage -_High-performance antennas and ASUS AiRadar eliminate dead spots,"Commercial-grade Security -_AiProtection, powered by Trend Micro_, blocks and neutralizes internet security threats for all your connected smart devices",AiMesh Supported -_Connect your RT-AC68U to other compatible ASUS routers to create a powerful and flexible whole-home Wi-Fi network,"Flexible Connectivity Options-_5X Gigabit Ethernet ports, 1X ultrafast USB 3.1 port and 1X USB 2.0 port",NULL,https://www.youtube.com/embed/Voqz3OQuFho,,,
Asus,Wireless Router,RT-AC53,90IG02Z1-BIB000,4.71E+12,85176290,AC750 Dual Band WiFi Router with VPN server and time schedulingConcurrent speed up to a combined 750 Mbps data rate with High Power design,AC750 Dual Band WiFi Router with VPN server and time scheduling,285,3.55,19,12.33,342,7.4,33,20,3800,Black,36,https://www.asus.com/in/Networking/RT-AC53/,Concurrent speed up to a combined 750 Mbps data rate with High Power design,"With the ASUSWRT dashboard UI, setup, monitor, and control network applications all in one intuitive area.",3 external strong antenna enhances signal transmission,Data transfer 10 times faster than 10/100 Fast Ethernet devices,Super-fast AC Wi-Fi with 256QAM_ Wi-Fi acceleration,Guest Network -Separate and limited Wi-Fi network for your visitors,NULL,https://www.youtube.com/embed/5MidqjjTmvY,,,
Asus,Wireless Adapter,USB-AC53 Nano,90IG03P0-BG0R10,4.71E+12,85176290,AC1200 Dual-band USB Wi-Fi AdapterWorld�s smallest USB Wi-Fi adapter,AC1200 Dual-band USB Wi-Fi Adapter,101,0.7,1.4,2,141,3.45,14.45,18.55,4000,Black,36,https://www.asus.com/in/Networking/USB-AC53-Nano/,Worlds smallest USB Wi-Fi adapter,Instant Wi-Fi upgrade for laptops,Perfect for streaming and gaming,Extreme 5th-generation Wi-Fi speed,MU-MIMO technology boosts connection speed when multiple compatible clients are online.,Travel-friendly design,https://drive.google.com/file/uc?export=view&id=1y6pSbW8s1aP_mupWl631Z_t6fnkUrenn,https://www.youtube.com/embed/k5FjpBiYiXo,,,
